Club Name,Keywords,Keywords_with_Weights
Fatakada,Dance; South Asian,Dance (0.5); South Asian (0.5)
FeelGood World,Community Service; International,Community Service (0.5); International (0.5)
Fenway Campus Hall Council,General Interest,General Interest (1.0)
Filipino Student Association,Dance; Film & Media; Southeast Asian; Individual Sports; Food & Cooking,Dance (0.2); Film & Media (0.2); Southeast Asian (0.2); Individual Sports (0.2); Food & Cooking (0.2)
Film Society,Theater; Film & Media,Theater (0.5); Film & Media (0.5)
FilmBiz: Boston University?? Entertainment Business Club,Business; Music; Theater; Film & Media; Professional Development,Business (0.2); Music (0.2); Theater (0.2); Film & Media (0.2); Professional Development (0.2)
Finance and Investment Club,Business,Business (1.0)
Financial Modeling Club,Business; Professional Development,Business (0.5); Professional Development (0.5)
Financial Technology Group,Business,Business (1.0)
First Generation and/or Low Income Partnership,Technology; Healthcare; Mental Wellness; Community Service; Social Justice; Food & Cooking,Technology (0.1667); Healthcare (0.1667); Mental Wellness (0.1667); Community Service (0.1667); Social Justice (0.1667); Food & Cooking (0.1667)
FORGE Design Studios,Technology; Visual Arts; Film & Media; Professional Development,Technology (0.25); Visual Arts (0.25); Film & Media (0.25); Professional Development (0.25)
Fort?,Music; Women-Focused,Music (0.5); Women-Focused (0.5)
French Club,Film & Media; Environmental,Film & Media (0.5); Environmental (0.5)
Fusion,Dance; Theater,Dance (0.5); Theater (0.5)
Gaming Club,Gaming,Gaming (1.0)
Gamma Phi Beta,Greek Life; Women-Focused,Greek Life (0.5); Women-Focused (0.5)
German Culture Club,Environmental,Environmental (1.0)
Girl Gains Boston University,Fitness; Women-Focused,Fitness (0.5); Women-Focused (0.5)
Global China Connection,Environmental; Professional Development; International,Environmental (0.3333); Professional Development (0.3333); International (0.3333)
Global Engineering Brigade,Engineering; Healthcare; Community Service; International; Food & Cooking,Engineering (0.2); Healthcare (0.2); Community Service (0.2); International (0.2); Food & Cooking (0.2)
Global Medical Brigades,Healthcare; Community Service; International,Healthcare (0.3333); Community Service (0.3333); International (0.3333)
Global Tea Club at Boston University,East Asian; International,East Asian (0.5); International (0.5)
Graphic Medicine Club,Healthcare,Healthcare (1.0)
GroupIRean: Korean Diplomatic and Political Association,Politics; East Asian; International,Politics (0.3333); East Asian (0.3333); International (0.3333)
Ghanaian Student Organization,African,African (1.0)
Guerrilla Marketing Society,Business,Business (1.0)
Hack4Impact,Technology; Community Service,Technology (0.5); Community Service (0.5)
HackHardware,Technology; Engineering,Technology (0.5); Engineering (0.5)
Half-Asian People's Association,General Interest,General Interest (1.0)
Hawaii Cultural Association,General Interest,General Interest (1.0)
Healthcare Improvement Inc,Business; Healthcare; Law,Business (0.3333); Healthcare (0.3333); Law (0.3333)
Hearts for the Homeless Boston,Healthcare; Community Service,Healthcare (0.5); Community Service (0.5)
Hellenic Association,General Interest,General Interest (1.0)
Helping Hands for the Homeless,General Interest,General Interest (1.0)
Her Campus Boston University,Healthcare; Mental Wellness; Film & Media; Professional Development; Women-Focused,Healthcare (0.2); Mental Wellness (0.2); Film & Media (0.2); Professional Development (0.2); Women-Focused (0.2)
Her Financial Future,Business; Professional Development; Women-Focused,Business (0.3333); Professional Development (0.3333); Women-Focused (0.3333)
herNetwork - Boston University Women in Business,Business; Professional Development; Women-Focused,Business (0.3333); Professional Development (0.3333); Women-Focused (0.3333)
High Performance Computing Club,Technology; Engineering; Theater; International,Technology (0.25); Engineering (0.25); Theater (0.25); International (0.25)
Hillel Students Organization,Politics; Jewish,Politics (0.5); Jewish (0.5)
Hong Kong Student Association,East Asian,East Asian (1.0)
Hospitality Association at BU,Professional Development,Professional Development (1.0)
Howard Thurman Center,General Interest,General Interest (1.0)
IEEE Student Chapter/IEEE-HKN,Engineering; Professional Development,Engineering (0.5); Professional Development (0.5)
India Club,Music; Dance; Theater,Music (0.3333); Dance (0.3333); Theater (0.3333)
Indonesian Student Association,Southeast Asian,Southeast Asian (1.0)
INK Illustration Club,Visual Arts,Visual Arts (1.0)
Inner Strength Gospel Choir,Music; Christian; Community Service,Music (0.3333); Christian (0.3333); Community Service (0.3333)
"Interface of Science, Technology, Engineering, and Policy",Technology; Engineering; Politics; Social Justice,Technology (0.25); Engineering (0.25); Politics (0.25); Social Justice (0.25)
Inter Fraternity Council,Social Justice; Greek Life,Social Justice (0.5); Greek Life (0.5)
International Affairs Association,Writing; International,Writing (0.5); International (0.5)
"Delta Sigma Theta Sorority, Inc.",Greek Life; Women-Focused,Greek Life (0.5); Women-Focused (0.5)
Persian Students Association,Middle Eastern,Middle Eastern (1.0)
Islamic Society,Muslim,Muslim (1.0)
Italian Students Association,Writing; Environmental; Food & Cooking,Writing (0.3333); Environmental (0.3333); Food & Cooking (0.3333)
It's On Us ,Environmental; Women-Focused,Environmental (0.5); Women-Focused (0.5)
Jains In Voice and Action,General Interest,General Interest (1.0)
Jalwa,Dance,Dance (1.0)
Japanese Student Association,Film & Media; East Asian; Food & Cooking,Film & Media (0.3333); East Asian (0.3333); Food & Cooking (0.3333)
Jewish on Campus at Boston University,Film & Media; Jewish; LGBTQ+,Film & Media (0.3333); Jewish (0.3333); LGBTQ+ (0.3333)
Kappa Alpha Theta,Visual Arts; Film & Media; Community Service; Women-Focused,Visual Arts (0.25); Film & Media (0.25); Community Service (0.25); Women-Focused (0.25)
Kappa Delta,Community Service; Women-Focused,Community Service (0.5); Women-Focused (0.5)
Kappa Kappa Psi,Community Service; Greek Life,Community Service (0.5); Greek Life (0.5)
Kappa Sigma,Community Service; Greek Life; LGBTQ+,Community Service (0.3333); Greek Life (0.3333); LGBTQ+ (0.3333)
"Kappa Alpha Psi Fraternity, Inc",Greek Life,Greek Life (1.0)
(Kasual)Kicks Soccer Club,Environmental; Team Sports,Environmental (0.5); Team Sports (0.5)
Qazaq Student Association,General Interest,General Interest (1.0)
Camp Kesem,General Interest,General Interest (1.0)
Korean Graduate Student Association,East Asian,East Asian (1.0)
Khmer Student Association at Boston University,Politics; Environmental,Politics (0.5); Environmental (0.5)
Kidney Disease Screening and Awareness Program,Healthcare,Healthcare (1.0)
Knitting Club,General Interest,General Interest (1.0)
Korean Communication Association,Film & Media; Writing; East Asian,Film & Media (0.3333); Writing (0.3333); East Asian (0.3333)
Korean Student Association,East Asian; Professional Development,East Asian (0.5); Professional Development (0.5)
Kappa Theta Pi,Greek Life,Greek Life (1.0)
La Casa Peruana,General Interest,General Interest (1.0)
Lambda Chi Alpha,Community Service; Greek Life; LGBTQ+,Community Service (0.3333); Greek Life (0.3333); LGBTQ+ (0.3333)
LatinasBU,Technology; Latin American; Social Justice; Professional Development,Technology (0.25); Latin American (0.25); Social Justice (0.25); Professional Development (0.25)
Lebanese Club,Politics; Middle Eastern,Politics (0.5); Middle Eastern (0.5)
Let's Talk About It,Healthcare; Mental Wellness; Film & Media; Environmental; Fitness,Healthcare (0.2); Mental Wellness (0.2); Film & Media (0.2); Environmental (0.2); Fitness (0.2)
Linguistics Association,General Interest,General Interest (1.0)
Liquid Fun,Theater; Food & Cooking,Theater (0.5); Food & Cooking (0.5)
Los Mariachi Terriers,General Interest,General Interest (1.0)
Lower Bay State Road Hall Council,General Interest,General Interest (1.0)
Mathematics Association at BU,General Interest,General Interest (1.0)
Mahjong Club,General Interest,General Interest (1.0)
Malaysian Cultural Association,Community Service,Community Service (1.0)
Marine Science Association,General Interest,General Interest (1.0)
Medical Ethics Society,Healthcare,Healthcare (1.0)
Mexican Students Association,Latin American; LGBTQ+,Latin American (0.5); LGBTQ+ (0.5)
MicroFinance Initiative,Business; Politics,Business (0.5); Politics (0.5)
Migration Tales,Film & Media; Community Service,Film & Media (0.5); Community Service (0.5)
Mind and Brain Society,Science; Mental Wellness; Community Service; Professional Development,Science (0.25); Mental Wellness (0.25); Community Service (0.25); Professional Development (0.25)
Minority Association of Pre-Medical/Health Students,Healthcare; Community Service; Professional Development,Healthcare (0.3333); Community Service (0.3333); Professional Development (0.3333)
Mixed Student Union,General Interest,General Interest (1.0)
miXx K-Pop Cover Dance Crew,Music; Dance; East Asian,Music (0.3333); Dance (0.3333); East Asian (0.3333)
Mock Mediation Organization,Law,Law (1.0)
Mock Trial Organization,Theater,Theater (1.0)
Mu Epsilon Delta,Healthcare; Community Service; Greek Life; Professional Development,Healthcare (0.25); Community Service (0.25); Greek Life (0.25); Professional Development (0.25)
Music Business Club,Business; Music; Professional Development,Business (0.3333); Music (0.3333); Professional Development (0.3333)
Mustard Seed,Music,Music (1.0)
Flag Football Club,Team Sports,Team Sports (1.0)
North African Student Organization ,African,African (1.0)
National Society of Black Engineers,Community Service,Community Service (1.0)
National Student Speech Language Hearing Association,General Interest,General Interest (1.0)
Navigators Christian Fellowship,Christian,Christian (1.0)
NMDP,Mental Wellness; Community Service,Mental Wellness (0.5); Community Service (0.5)
Undergraduate Sociology Association ,General Interest,General Interest (1.0)
Nutrition and Dietetics Club,Healthcare; Mental Wellness; Food & Cooking,Healthcare (0.3333); Mental Wellness (0.3333); Food & Cooking (0.3333)
The Orthodox Christian Fellowship of BU,Film & Media; Christian; Community Service,Film & Media (0.3333); Christian (0.3333); Community Service (0.3333)
Off The Cuff Magazine,Visual Arts; Writing,Visual Arts (0.5); Writing (0.5)
Off The Hook,Community Service,Community Service (1.0)
Oral Health Advocacy-BU,Healthcare; Community Service; Social Justice,Healthcare (0.3333); Community Service (0.3333); Social Justice (0.3333)
Omega Phi Alpha,Healthcare; Mental Wellness; Community Service; Greek Life,Healthcare (0.25); Mental Wellness (0.25); Community Service (0.25); Greek Life (0.25)
On Broadway,Music; Theater; LGBTQ+,Music (0.3333); Theater (0.3333); LGBTQ+ (0.3333)
On Tap,Dance,Dance (1.0)
One Voice,Music,Music (1.0)
Organization of Pakistani Students,Politics; South Asian; LGBTQ+,Politics (0.3333); South Asian (0.3333); LGBTQ+ (0.3333)
Outing Club,Environmental,Environmental (1.0)
Overarching Executive Council,General Interest,General Interest (1.0)
Phi Alpha Delta,Law; Greek Life,Law (0.5); Greek Life (0.5)
Panhellenic Council,Greek Life; Professional Development,Greek Life (0.5); Professional Development (0.5)
PERIOD.,Film & Media; Community Service; Social Justice,Film & Media (0.3333); Community Service (0.3333); Social Justice (0.3333)
Phi Gamma Nu,General Interest,General Interest (1.0)
Phi Chi Theta Business Fraternity,Business; Greek Life,Business (0.5); Greek Life (0.5)
"Philosophy, Politics & Economics Society",Business,Business (1.0)
Society of Physics Students,Science; Professional Development,Science (0.5); Professional Development (0.5)
Pre-Health Professionals Club,Healthcare; Community Service; Environmental,Healthcare (0.3333); Community Service (0.3333); Environmental (0.3333)
Physical Therapy Association (Graduate) - 32375,Mental Wellness,Mental Wellness (1.0)
Pi Kappa Alpha,Community Service; Greek Life,Community Service (0.5); Greek Life (0.5)
Pioneer Impact Consulting,Business,Business (1.0)
